Right/Wrong,Conf Pred Right,Actual,Ranking Array
Right,84.09,['Beverly Hills High School'],"[('Beverly Hills High School', 37), ('El Rodeo School', 2), ('Calabasas High School', 1), ('Lycée Français de Los Angeles', 1), ('Solebury School', 1), ('Campbell Hall School', 1), ('Milken Community Schools', 1)]"
Right,44.78,"['Los Angeles, California', 'Beverly Hills, California']",[]
Wrong,8.33,['Encino Veterinary Clinic'],[]
Wrong,23.53,"['UCLA', 'Milken Community Schools']",[]
Wrong,58.49,['Alexander Muss High School in Israel'],"[('Beverly Hills High School', 31), ('Milken Community Schools', 15), ('Milken Community School', 2), ('Horace Mann School', 1), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Buckley School', 1)]"
Wrong,7.41,['Canyon Creek Sports Camp'],[]
Wrong,15.79,['Boston University'],[]
Wrong,65.38,['Milken Community Schools'],"[('Beverly Hills High School', 34), ('Milken Community Schools', 14), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
Wrong,6.82,"['Atlantic Records', '300 Entertainment']",[]
Wrong,14.49,['New York University'],[]
Wrong,86.27,['Campbell Hall School'],"[('Beverly Hills High School', 44), ('Al-Rowad International Schools', 1), ('Dar El Tarbiah School', 1), ('Shrewsbury International School Bangkok, Thailand', 1), ('Harvard-Westlake School', 1), ('Newport Harbor High', 1), ('American School Foundation', 1), ('Milken Community Schools', 1)]"
Wrong,40.22,"['Los Angeles, California']",[]
Wrong,57.14,Democratic Party,"[('Other', 4), ('Vote Saxon', 1), ('viva mexico y calderon tambien', 1), ('Very conservative', 1)]"
Wrong,30.56,1990,"[('1996', 11), ('1997', 6), ('1998', 4), ('1995', 4), ('1999', 3), ('1990', 3), ('1994', 3), ('1978', 1), ('1932', 1)]"
Wrong,18.33,['UCLA'],[]
Wrong,40.91,['Milken Community Schools'],"[('Beverly Hills High School', 18), ('Milken Community Schools', 16), ('Milken Community School', 4), ('rah danesh', 1), ('Agoura High School', 1), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Alexander Muss High School in Israel', 1)]"
Wrong,51.85,"['Beverly Hills, California']",[]
Wrong,23.08,['The University of Arizona'],[]
Right,89.8,['Beverly Hills High School'],"[('Beverly Hills High School', 44), ('El Rodeo School', 2), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community Schools', 1)]"
Right,51.52,"['Beverly Hills, California', 'Los Angeles, California']",[]
Wrong,25.81,"['California State University, Northridge']",[]
Wrong,63.83,['Milken Community Schools'],"[('Beverly Hills High School', 30), ('Milken Community Schools', 11), ('Horace Mann School', 1), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Buckley School', 1), ('Milken Community School', 1)]"
Right,93.48,['Beverly Hills High School'],"[('Beverly Hills High School', 43), ('Milken Community Schools', 2), ('Milken Community School', 1)]"
Right,33.33,1997,"[('1997', 11), ('1996', 9), ('1998', 6), ('1995', 3), ('1994', 3), ('1990', 1)]"
Right,50.85,"['Los Angeles, California']","[('Los Angeles, California', 30), ('Beverly Hills, California', 20), ('Moved in 2015', 2), ('Chicago, Illinois', 1), ('Toronto, Ontario', 1), ('Tel Aviv, Israel', 1), ('Santa Monica, California', 1), ('New York, New York', 1), ('Moved in 2019', 1), ('Sherman Oaks', 1)]"
Right,88.89,['Beverly Hills High School'],"[('Beverly Hills High School', 48), ('El Rodeo School', 2), ('Douglas Marshall', 1), ('Beverly Vista School', 1), ('Milken Community School', 1), ('Milken Community Schools', 1)]"
Right,43.75,Jewish (religion),"[('Jewish (religion)', 7), ('Jewish. ♥ Jewish. ♥', 1), ('Islam', 1), ('none of ur business', 1), ('Christians', 1), (""Bahá'í"", 1), ('Jewish', 1), ('Jewish/Catholic', 1), ('Catholic (church)', 1), ('Other', 1)]"
Wrong,26.32,['Indiana University'],[]
Right,82.98,['Beverly Hills High School'],"[('Beverly Hills High School', 39), ('Milken Community Schools', 3), ('BHHS', 1), ('Beverly Hills High', 1), ('Solebury School', 1), ('Milken Community School', 1), ('Newport Harbor High', 1)]"
Right,49.23,"['Beverly Hills, California']",[]
Right,92.86,Jewish (religion),"[('Jewish (religion)', 13), ('Jewish', 1)]"
Right,47.76,"['Los Angeles, California']",[]
Wrong,22.39,['Chapman University'],[]
Wrong,57.69,['Milken Community School'],"[('Beverly Hills High School', 30), ('Milken Community Schools', 14), ('Horace Mann School', 1), ('Brentwood Science Magnet Elementary School', 1), ('Beverly Vista School', 1), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Buckley School', 1), ('Milken Community School', 1)]"
Right,23.08,['UCLA'],[]
Right,86.67,['Beverly Hills High School'],"[('Beverly Hills High School', 39), ('Milken Community School', 2), ('rosewood ave elementary', 1), (""Bishop Cotton Girls' School"", 1), ('John Burroughs Middle School', 1), ('Palisades Charter High School', 1)]"
Right,55.93,"['Beverly Hills, California', 'New York, New York']","[('Beverly Hills, California', 33), ('Los Angeles, California', 19), ('London, United Kingdom', 1), ('Manhattan, New York', 1), ('Austin, Texas', 1), ('Huntington Beach, California', 1), ('Mayaguez, Puerto Rico', 1), ('Moved in 2015', 1), ('Tehran, Iran', 1)]"
Wrong,67.31,['Milken Community School'],"[('Beverly Hills High School', 35), ('Milken Community Schools', 11), ('El Rodeo School', 2), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
Wrong,48.65,"['Los Angeles, California']",[]
Wrong,21.67,['Boston University'],[]
Right,39.47,['Milken Community Schools'],"[('Milken Community Schools', 15), ('Beverly Hills High School', 14), ('Milken Community School', 3), ('Harvard-Westlake School', 1), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Alexander Muss High School in Israel', 1), ('Buckley School', 1)]"
Right,52.63,"['Los Angeles, California']",[]
Wrong,7.14,['LAC+USC Medical Center'],[]
Wrong,72.73,"['Milken Community Schools', 'Sinai Akiba Academy', 'University of Southern California']","[('Beverly Hills High School', 32), ('Milken Community Schools', 9), ('El Rodeo School', 1), ('Solebury School', 1), ('Milken Community School', 1)]"
Wrong,46.58,"['Los Angeles, California']",[]
Wrong,71.43,have none,"[('Jewish (religion)', 10), ('Other', 2), (""Bahá'í"", 1), ('Jewish', 1)]"
Right,60.0,Other,"[('Other', 3), ('viva mexico y calderon tambien', 1), ('Democratic Party', 1)]"
Wrong,30.0,1996,"[('1997', 6), ('1998', 4), ('1996', 4), ('1995', 3), ('1994', 2), ('1990', 1)]"
Right,27.78,Jewish (religion),[]
Right,81.25,1996,"[('1996', 13), ('1980', 1), ('1995', 1), ('1997', 1)]"
Wrong,23.44,['Indiana University'],[]
Wrong,58.14,['Milken Community School'],"[('Beverly Hills High School', 25), ('Milken Community Schools', 12), ('Horace Mann School', 1), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Buckley School', 1), ('Milken Community School', 1)]"
Right,46.15,"['Los Angeles, California']","[('Los Angeles, California', 30), ('Beverly Hills, California', 27), ('Austin, Texas', 1), ('Chicago, Illinois', 1), ('Toronto, Ontario', 1), ('Moved in 2015', 1), ('Tel Aviv, Israel', 1), ('Santa Monica, California', 1), ('Moved in 2019', 1), ('Sherman Oaks', 1)]"
Wrong,60.0,lakers own ur shit,"[('Jewish (religion)', 9), ('Pure Jew', 1), ('Jew', 1), (""Bahá'í"", 1), ('have none', 1), ('Jewish', 1), ('Other', 1)]"
Right,66.67,Other,"[('Other', 2), ('Democratic Party', 1)]"
Wrong,20.51,['University of Oregon'],[]
Right,58.06,['Milken Community Schools'],"[('Milken Community Schools', 18), ('Milken Community School', 4), ('Beverly Hills High School', 4), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Alexander Muss High School in Israel', 1), ('Buckley School', 1)]"
Right,58.97,"['Los Angeles, California']","[('Los Angeles, California', 23), ('Beverly Hills, California', 9), ('Austin, Texas', 1), ('Chicago, Illinois', 1), ('Moved in 2015', 1), ('Tel Aviv, Israel', 1), ('Santa Monica, California', 1), ('Moved in 2019', 1), ('Sherman Oaks', 1)]"
Wrong,14.29,['University of Redlands'],[]
Wrong,80.0,['El Camino Real Senior High'],"[('Beverly Hills High School', 8), ('Milken Community Schools', 2)]"
Right,45.45,"['Los Angeles, California', 'Woodland Hills']","[('Los Angeles, California', 5), ('Beverly Hills, California', 3), ('Moved in 2019', 1), ('Sherman Oaks', 1), ('San Francisco, California', 1)]"
Right,74.42,['Beverly Hills High School'],"[('Beverly Hills High School', 32), ('Milken Community Schools', 4), ('BHHS', 1), ('Beverly Hills High', 1), ('Shrewsbury International School Bangkok, Thailand', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1), ('Newport Harbor High', 1)]"
Right,47.62,"['Beverly Hills, California']",[]
Wrong,76.92,Jewish Buddhist,"[('Jewish (religion)', 10), ('have none', 1), ('Jewish', 1), ('Other', 1)]"
Wrong,66.67,Fuck_politics,"[('Other', 2), ('viva mexico y calderon tambien', 1)]"
Wrong,10.71,"['Tulane Athletics, Tulane University']",[]
Wrong,21.67,"['Tulane University School of Public Health and Tropical Medicine', 'Tulane University']",[]
Right,80.0,['Beverly Hills High School'],"[('Beverly Hills High School', 36), ('Milken Community Schools', 3), ('BHHS', 1), ('El Rodeo School', 1), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
Wrong,39.73,"['Los Angeles, California']",[]
Right,64.29,Jewish (religion),"[('Jewish (religion)', 9), ('Jewish', 2), (""Bahá'í"", 1), ('have none', 1), ('Other', 1)]"
Wrong,28.57,1996,"[('1997', 6), ('1996', 5), ('1998', 2), ('1995', 2), ('1990', 2), ('1994', 2), ('1954', 1), ('1999', 1)]"
Wrong,21.21,['UCLA'],[]
Wrong,57.45,['Milken Community School'],"[('Beverly Hills High School', 27), ('Milken Community Schools', 14), ('Milken Community School', 2), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Buckley School', 1)]"
Wrong,45.45,"['Los Angeles, California']",[]
Right,81.25,Jewish (religion),"[('Jewish (religion)', 13), ('Pure Jew', 1), ('have none', 1), ('Jewish', 1)]"
Wrong,26.47,1998,"[('1997', 9), ('1996', 8), ('1998', 7), ('1994', 4), ('1999', 3), ('1995', 2), ('1978', 1)]"
Wrong,20.59,['Beverly Hills High School'],[]
Right,76.79,['Beverly Hills High School'],[]
Wrong,39.33,"['Los Angeles, California']",[]
Wrong,28.12,1998,"[('1997', 9), ('1996', 8), ('1998', 5), ('1995', 4), ('1999', 3), ('1990', 2), ('1994', 1)]"
Wrong,20.97,['Santa Monica College'],[]
Wrong,65.12,['Solebury School'],"[('Beverly Hills High School', 28), ('Milken Community Schools', 12), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
Wrong,46.97,"['Santa Monica, California']",[]
Wrong,86.79,['Palos Verdes Peninsula High'],"[('Beverly Hills High School', 46), ('Horace Mann School', 1), ('Brentwood Science Magnet Elementary School', 1), ('Beverly Hills High', 1), ('Buckley School', 1), ('Palisades Charter High School', 1), ('Milken Community School', 1), ('Newport Harbor High', 1)]"
Right,49.37,"['Palos Verdes Estates, California', 'Beverly Hills, California']",[]
Right,46.88,1996,"[('1996', 15), ('1997', 8), ('1995', 3), ('1994', 3), ('1998', 2), ('1980', 1)]"
Wrong,22.22,['UC Santa Barbara'],[]
Wrong,91.3,['Agoura High School'],"[('Beverly Hills High School', 21), ('Palisades Charter High School', 1), ('Milken Community Schools', 1)]"
Wrong,53.66,"['Isla Vista, California', 'Calabasas, California']","[('Beverly Hills, California', 22), ('Los Angeles, California', 13), ('Shanghai, China', 1), ('Moved in 2015', 1), ('New York, New York', 1), ('Tehran, Iran', 1), ('Paris, France', 1), ('Mexico City, Mexico', 1)]"
Wrong,47.83,1995,"[('1997', 11), ('1996', 5), ('1995', 3), ('1994', 2), ('1932', 1), ('1980', 1)]"
Wrong,12.5,['Ultra Records'],[]
Wrong,23.73,"['New York University', 'Cardozo School of Law', 'Beverly Hills High School', 'Emory University']",[]
Right,76.0,['Beverly Hills High School'],"[('Beverly Hills High School', 38), ('Milken Community Schools', 4), ('BHHS', 1), ('Beverly Hills High', 1), ('Shrewsbury International School Bangkok, Thailand', 1), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1), ('Newport Harbor High', 1)]"
Right,44.44,"['Beverly Hills, California']",[]
Wrong,35.0,1995,"[('1996', 7), ('1998', 3), ('1997', 3), ('1999', 2), ('1995', 2), ('1994', 2), ('1990', 1)]"
Wrong,17.24,"['Milken Community Schools', '\u200eהמרכז הבינתחומי הרצליה - IDC Herzliya\u200e', 'Santa Barbara City College']",[]
Wrong,46.81,['Milken Community Schools'],"[('Beverly Hills High School', 22), ('Milken Community Schools', 16), ('Milken Community School', 3), ('Horace Mann School', 1), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Alexander Muss High School in Israel', 1), ('Buckley School', 1)]"
Right,52.38,"['Los Angeles, California', 'Tel Aviv, Israel', 'Moved in 2015']","[('Los Angeles, California', 33), ('Beverly Hills, California', 24), ('Austin, Texas', 1), ('Chicago, Illinois', 1), ('Moved in 2017', 1), ('Santa Monica, California', 1), ('Moved in 2019', 1), ('Sherman Oaks', 1)]"
Wrong,4.35,['Hooters'],[]
Wrong,25.71,1976,"[('1997', 9), ('1996', 8), ('1998', 6), ('1999', 3), ('1995', 3), ('1994', 3), ('1990', 2), ('1932', 1)]"
Right,66.67,"['Tel Aviv, Israel', 'Los Angeles, California']","[('Los Angeles, California', 6), ('Beverly Hills, California', 3)]"
Wrong,16.67,['University of Illinois Urbana-Champaign'],[]
Right,43.24,['Milken Community Schools'],"[('Milken Community Schools', 16), ('Beverly Hills High School', 10), ('Milken Community School', 5), ('Horace Mann School', 1), ('Harvard-Westlake School', 1), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Alexander Muss High School in Israel', 1)]"
Right,50.94,"['Los Angeles, California', 'Beverly Hills, California']",[]
Wrong,47.76,"['Los Angeles, California']",[]
Wrong,18.42,"['Oxford College of Emory University', 'Emory University']",[]
Right,45.45,['Milken Community Schools'],"[('Milken Community Schools', 15), ('Beverly Hills High School', 6), ('Milken Community School', 5), ('Harvard-Westlake School', 1), ('Solebury School', 1), ('El Camino Real Senior High', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Alexander Muss High School in Israel', 1), ('Buckley School', 1)]"
Right,58.54,"['Sherman Oaks', 'Los Angeles, California']","[('Los Angeles, California', 24), ('Beverly Hills, California', 9), ('Moved in 2015', 2), ('Chicago, Illinois', 1), ('Tel Aviv, Israel', 1), ('Santa Monica, California', 1), ('Woodland Hills', 1), ('New York, New York', 1), ('Moved in 2019', 1)]"
Right,50.0,Jewish (religion),"[('Jewish (religion)', 2), ('lakers own ur shit', 1), ('have none', 1)]"
Wrong,50.0,['Harvard-Westlake School'],"[('Milken Community Schools', 10), ('Milken Community School', 3), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Campbell Hall School', 1), ('Alexander Muss High School in Israel', 1), ('Buckley School', 1), ('Beverly Hills High School', 1)]"
Right,72.0,"['New York, New York', 'Los Angeles, California', 'Moved in 2015']","[('Los Angeles, California', 18), ('Beverly Hills, California', 3), ('Moved in 2015', 1), ('Tel Aviv, Israel', 1), ('Santa Monica, California', 1), ('Sherman Oaks', 1)]"
Right,82.14,['Beverly Hills High School'],"[('Beverly Hills High School', 46), ('Milken Community Schools', 2), ('BHHS', 1), ('Horace Mann School', 1), ('Beverly hills high school', 1), ('Episcopal High School (Houston)', 1), ('El Rodeo School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
Wrong,52.44,"['Barcelona, Spain', 'Dallas, Texas']","[('Beverly Hills, California', 43), ('Los Angeles, California', 29), ('Moved in 2019', 2), ('San Francisco, California', 2), ('Chicago, Illinois', 1), ('Moved in 2017', 1), ('Carson, California', 1), ('Toronto, Ontario', 1), ('New York, New York', 1), ('Great Neck, New York', 1)]"
Wrong,6.45,['lululemon'],[]
Wrong,91.67,"['Shrewsbury International School Bangkok, Thailand']","[('Beverly Hills High School', 33), ('Campbell Hall School', 1), ('Palisades Charter High School', 1), ('Newport Harbor High', 1)]"
Right,42.0,"['Bangkok, Thailand', 'Beverly Hills, California', 'Moved in 1997']",[]
Wrong,18.37,['The University of Arizona'],[]
Right,90.24,['Beverly Hills High School'],"[('Beverly Hills High School', 37), ('Horace Mann School', 1), ('Venice High School', 1), ('El Rodeo School', 1), ('Palos Verdes Peninsula High', 1)]"
Right,53.23,"['Beverly Hills, California']",[]
Wrong,34.78,1997,"[('1996', 8), ('1997', 6), ('1995', 3), ('1990', 3), ('1994', 2), ('1998', 1)]"
Wrong,80.0,['IGS Volkmarode'],"[('Beverly Hills High School', 4), ('Horace Mann School', 1)]"
Wrong,80.0,"['Braunschweig, Germany']","[('Beverly Hills, California', 4), ('Los Angeles, California', 1)]"
Right,93.75,['Beverly Hills High School'],"[('Beverly Hills High School', 45), ('Douglas Marshall', 1), ('Horace Mann School', 1), ('El Rodeo School', 1)]"
Right,92.31,['Beverly Hills High School'],"[('Beverly Hills High School', 12), ('Brentwood Science Magnet Elementary School', 1)]"
Right,50.0,"['Beverly Hills, California']","[('Beverly Hills, California', 9), ('Los Angeles, California', 4), ('San Francisco, California', 2), ('Huntington Beach, California', 1), ('Manila, Philippines', 1), ('Moved in 2019', 1)]"
Right,75.0,1996,"[('1996', 3), ('1998', 1)]"
Wrong,39.73,"['Shanghai, China']",[]
Right,36.67,1997,"[('1997', 11), ('1996', 8), ('1998', 3), ('1995', 3), ('1990', 2), ('1954', 1), ('1999', 1), ('1994', 1)]"
Wrong,6.25,['Oshel - Los Angeles'],[]
Right,20.31,"['University of Southern California', 'Beverly Hills High School']",[]
Right,82.35,['Beverly Hills High School'],"[('Beverly Hills High School', 42), ('Milken Community Schools', 4), ('El Rodeo School', 1), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
Right,47.06,"['Beverly Hills, California', 'Toronto, Ontario']",[]
Wrong,64.29,Bahá'í,"[('Jewish (religion)', 9), ('Islam', 1), ('have none', 1), ('Jewish', 1), ('Catholic (church)', 1), ('Other', 1)]"
Right,50.0,Other,"[('Other', 3), ('Democratic Party', 2), ('viva mexico y calderon tambien', 1)]"
Wrong,17.91,['University of Southern California'],[]
Right,64.29,Jewish (religion),"[('Jewish (religion)', 9), ('Islam', 1), (""Bahá'í"", 1), ('have none', 1), ('Jewish', 1), ('Other', 1)]"
Wrong,18.6,['Riverside City College'],[]
Wrong,87.88,['Beverly Hills High'],"[('Beverly Hills High School', 29), ('Douglas Marshall', 1), ('Brentwood Science Magnet Elementary School', 1), ('Beverly hills high school', 1), ('Palos Verdes Peninsula High', 1)]"
Right,54.35,"['Miami, Florida', 'Beverly Hills, California']",[]
Right,70.59,1996,"[('1996', 12), ('1995', 2), ('1997', 2), ('1998', 1)]"
Wrong,45.45,"['Los Angeles, California']","[('Beverly Hills, California', 5), ('Los Angeles, California', 4), ('Buenos Aires, Argentina', 1), ('New York, New York', 1)]"
Wrong,66.67,1996,"[('1997', 4), ('1954', 1), ('1996', 1)]"
Wrong,17.39,['UCLA'],[]
Right,91.3,['Beverly Hills High School'],"[('Beverly Hills High School', 42), ('El Rodeo School', 2), ('Horace Mann School', 1), ('Milken Community School', 1)]"
Wrong,47.22,"['Los Angeles, California']",[]
Wrong,31.43,1954,"[('1996', 11), ('1997', 10), ('1998', 5), ('1995', 4), ('1994', 3), ('1990', 2)]"
Right,75.0,['Beverly Hills High School'],"[('Beverly Hills High School', 36), ('Milken Community Schools', 6), ('El Rodeo School', 2), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
Right,44.62,"['Beverly Hills, California']",[]
Right,92.16,['Beverly Hills High School'],"[('Beverly Hills High School', 47), ('BHHS', 1), ('Beverly hills high school', 1), ('Episcopal High School (Houston)', 1), ('Milken Community Schools', 1)]"
Right,56.58,"['Beverly Hills, California', 'San Francisco, California']",[]
Wrong,31.82,1992,"[('1998', 14), ('1997', 8), ('1996', 5), ('1999', 4), ('1994', 4), ('1995', 3), ('1990', 3), ('1991', 1), ('1932', 1), ('1992', 1)]"
Right,50.63,"['Beverly Hills, California']",[]
Wrong,18.31,['Santa Monica College'],[]
Right,94.0,['Beverly Hills High School'],"[('Beverly Hills High School', 47), ('opportunitys for learning', 1), ('El Rodeo School', 1), ('Milken Community School', 1)]"
Right,45.24,"['Beverly Hills, California', 'Mayaguez, Puerto Rico']",[]
Wrong,52.94,Catholic (church),"[('Jewish (religion)', 9), ('Cullenism', 1), ('Christianity', 1), ('Jewdaism', 1), ('none of ur business', 1), ('Christians', 1), ('Wumbology', 1), (""Bahá'í"", 1), ('Jewish', 1)]"
Wrong,36.67,1996,"[('1997', 11), ('1996', 4), ('1999', 3), ('1995', 3), ('1994', 3), ('1998', 2), ('1987', 1), ('1978', 1), ('1992', 1), ('1990', 1)]"
Right,66.67,"['Los Angeles, California']","[('Los Angeles, California', 2), ('Tel Aviv, Israel', 1)]"
Right,56.0,"['Beverly Hills, California']","[('Beverly Hills, California', 42), ('Los Angeles, California', 25), ('Jackson, Wyoming', 1), ('Moved in 2014', 1), ('Phoenix, Arizona', 1), ('Toronto, Ontario', 1), ('Meguro', 1), ('Ithaca, New York', 1), ('Bristol, United Kingdom', 1), ('Great Neck, New York', 1)]"
Right,90.74,['Beverly Hills High School'],"[('Beverly Hills High School', 49), ('BHHS', 1), ('El Rodeo School', 1), ('Campbell Hall School', 1), ('Milken Community School', 1), ('Milken Community Schools', 1)]"
Wrong,39.74,"['Beverly Hills, California']",[]
Wrong,6.25,['NBA'],[]
Wrong,23.08,['Beverly Hills High School'],[]
Right,83.33,['Beverly Hills High School'],"[('Beverly Hills High School', 40), ('Milken Community Schools', 2), ('BHHS', 1), ('Beverly Vista School', 1), ('Campbell Hall School', 1), ('Milken Community School', 1), ('Newport Harbor High', 1), ('American School Foundation', 1)]"
Right,45.12,"['Beverly Hills, California']",[]
Wrong,43.75,Respect every religion,"[('Jewish (religion)', 7), ('Cullenism', 1), ('Christianity', 1), ('•Cant Say•', 1), ('none of ur business', 1), ('Christians', 1), ('Wumbology', 1), (""Bahá'í"", 1), ('Jewish', 1), ('Catholic (church)', 1)]"
Wrong,27.78,1932,"[('1997', 10), ('1998', 8), ('1999', 4), ('1996', 4), ('1990', 3), ('1994', 3), ('1995', 2), ('1987', 1), ('1978', 1)]"
Right,23.64,['UCLA'],[]
Wrong,52.54,"['Tehran, Iran']",[]
Right,53.85,Jewish (religion),"[('Jewish (religion)', 7), ('Jewish', 2), ('Jewish. ♥ Jewish. ♥', 1), (""Bahá'í"", 1), ('have none', 1), ('Other', 1)]"
Right,48.15,"['Beverly Hills, California']",[]
Right,28.57,1998,"[('1998', 10), ('1996', 7), ('1997', 6), ('1999', 3), ('1994', 3), ('1995', 2), ('1990', 2), ('1978', 1), ('1992', 1)]"
Right,22.39,['UCLA'],[]
Right,89.58,"['Beverly Hills High School', 'El Rodeo School']","[('Beverly Hills High School', 43), ('Milken Community Schools', 2), ('El Rodeo School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1)]"
Right,49.32,"['Beverly Hills, California']",[]
Wrong,34.78,1995,"[('1997', 8), ('1995', 4), ('1996', 4), ('1998', 3), ('1990', 2), ('1954', 1), ('1994', 1)]"
Wrong,22.95,['Wumbo'],[]
Right,46.25,"['Beverly Hills, California']",[]
Wrong,61.11,Wumbology,"[('Jewish (religion)', 11), ('Catholic (church)', 2), ('JEW!!', 1), ('Christianity', 1), ('•Cant Say•', 1), ('Jew - Reform', 1), ('Jewish/Catholic', 1)]"
Right,44.44,Other,"[('Other', 4), ('Democratic Party', 2), ('Republican Party', 2), ('Health Care Party', 1)]"
Wrong,27.27,1990,"[('1996', 9), ('1998', 8), ('1999', 3), ('1995', 3), ('1997', 3), ('1990', 2), ('1994', 2), ('1978', 1), ('1954', 1), ('1992', 1)]"
Right,95.0,['Beverly Hills High School'],"[('Beverly Hills High School', 38), ('El Rodeo School', 2)]"
Right,45.45,"['Beverly Hills, California']",[]
Right,46.43,"['Beverly Hills, California']",[]
Wrong,24.32,1978,"[('1998', 9), ('1996', 7), ('1997', 6), ('1999', 4), ('1994', 4), ('1995', 3), ('1990', 3), ('1992', 1)]"
Wrong,81.03,['Episcopal High School (Houston)'],"[('Beverly Hills High School', 47), ('Milken Community Schools', 3), ('BHHS', 1), ('Brentwood Science Magnet Elementary School', 1), ('Beverly Vista School', 1), ('El Rodeo School', 1), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Campbell Hall School', 1)]"
Wrong,47.62,"['Los Angeles, California']",[]
Right,78.18,['Beverly Hills High School'],"[('Beverly Hills High School', 43), ('Milken Community Schools', 6), ('El Rodeo School', 2), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
Right,43.84,"['Los Angeles, California', 'Beverly Hills, California']",[]
Right,22.39,"['USC Gould School of Law', 'UCLA']",[]
Right,78.43,['Beverly Hills High School'],"[('Beverly Hills High School', 40), ('Milken Community Schools', 5), ('El Rodeo School', 2), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
Right,43.48,"['Beverly Hills, California']",[]
Wrong,29.17,1997,"[('1996', 7), ('1998', 4), ('1997', 4), ('1995', 3), ('1999', 2), ('1994', 2), ('1954', 1), ('1990', 1)]"
Wrong,21.67,['UC Berkeley'],[]
Right,79.17,['Beverly Hills High School'],"[('Beverly Hills High School', 38), ('Milken Community Schools', 5), ('El Rodeo School', 1), ('Beverly Hills High', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
Wrong,47.76,"['Los Angeles, California']",[]
Wrong,33.33,1997,"[('1996', 8), ('1997', 6), ('1995', 4), ('1999', 2), ('1990', 2), ('1998', 1), ('1994', 1)]"
Right,49.23,"['Beverly Hills, California']",[]
Wrong,21.88,"['UC Riverside', 'Santa Monica College']",[]
Right,94.0,['Beverly Hills High School'],"[('Beverly Hills High School', 47), ('El Rodeo School', 1), ('Milken Community School', 1), ('Milken Community Schools', 1)]"
Right,45.21,"['Beverly Hills, California']",[]
Right,37.04,1997,"[('1997', 10), ('1996', 7), ('1995', 4), ('1998', 2), ('1954', 1), ('1999', 1), ('1990', 1), ('1994', 1)]"
Right,84.62,['Beverly Hills High School'],"[('Beverly Hills High School', 33), ('Douglas Marshall', 1), ('Horace Mann School', 1), ('Brentwood Science Magnet Elementary School', 1), ('Hawthorne Elementary School', 1), ('El Rodeo School', 1), ('Milken Community School', 1)]"
Right,61.36,"['Beverly Hills, California', 'Los Angeles, California']","[('Beverly Hills, California', 27), ('Los Angeles, California', 11), ('Manhattan, New York', 1), ('Nesconset, New York', 1), ('Mayaguez, Puerto Rico', 1), ('Moved in 2015', 1), ('Tehran, Iran', 1), ('Sherman Oaks', 1)]"
Wrong,25.0,['University of Southern California'],[]
Right,88.64,['Beverly Hills High School'],"[('Beverly Hills High School', 39), ('Milken Community Schools', 2), ('BHHS', 1), ('Beverly hills high school', 1), ('El Rodeo School', 1)]"
